id	isolate	host	collection_date	country	host_group
8	RF122	cow	2002	Ireland	cattle
18	LGA251	cow	2011	UK	cattle
98	Newbould 305	cow	2012	Switzerland	cattle
344	SS_0537	chicken	2013	UK	poultry
345	SS_0538	chicken	2013	UK	poultry
346	SS_0539	chicken	2013	UK	poultry
347	SS_0540	chicken	2013	UK	poultry
348	SS_0541	chicken	2013	UK	poultry
349	SS_0542	chicken	2013	UK	poultry
351	SS_0544	chicken	2013	UK	poultry
352	SS_0545	chicken	2013	UK	poultry
353	SS_0546	chicken	2013	UK	poultry
354	SS_0547	chicken	2013	UK	poultry
355	SS_0548	chicken	2013	UK	poultry
357	SS_0550	chicken	2013	UK	poultry
358	SS_0551	chicken	2013	UK	poultry
359	SS_0552	chicken	2013	UK	poultry
360	SS_0553	chicken	2013	UK	poultry
362	SS_0555	chicken	2013	UK	poultry
363	SS_0556	chicken	2013	UK	poultry
365	SS_0558	chicken	2013	UK	poultry
368	SS_0561	chicken	2013	UK	poultry
369	SS_0562	chicken	2013	UK	poultry
372	SS_0565	chicken	2013	UK	poultry
373	SS_0566	chicken	2013	UK	poultry
374	SS_0567	chicken	2013	UK	poultry
375	SS_0568	chicken	2013	UK	poultry
376	SS_0569	chicken	2013	UK	poultry
378	SS_0571	chicken	2013	UK	poultry
379	SS_0572	chicken	2013	UK	poultry
380	SS_0573	chicken	2013	UK	poultry
381	SS_0574	chicken	2013	UK	poultry
382	SS_0575	chicken	2013	UK	poultry
383	SS_0576	chicken	2013	UK	poultry
384	SS_0577	chicken	2013	UK	poultry
385	SS_0578	chicken	2013	UK	poultry
386	SS_0579	chicken	2013	UK	poultry
387	SS_0580	chicken	2013	UK	poultry
388	SS_0581	chicken	2013	UK	poultry
389	SS_0582	chicken	2013	UK	poultry
390	SS_0583	chicken	2013	UK	poultry
391	SS_0584	chicken	2013	UK	poultry
807	SS_0585	chicken	2012	UK	poultry
808	SS_0586	chicken	2012	UK	poultry
809	SS_0587	chicken	2012	UK	poultry
810	SS_0588	chicken	2012	UK	poultry
811	SS_0589	chicken	2012	UK	poultry
812	SS_0590	chicken	2012	UK	poultry
813	SS_0591	chicken	2012	UK	poultry
814	SS_0592	chicken	2012	UK	poultry
815	SS_0593	chicken	2013	UK	poultry
816	SS_0594	chicken	2013	UK	poultry
817	SS_0595	chicken	2013	UK	poultry
818	SS_0596	chicken	2013	UK	poultry
819	SS_0597	chicken	2013	UK	poultry
820	SS_0598	chicken	2013	UK	poultry
821	SS_0599	chicken	2013	UK	poultry
822	SS_0600	chicken	2013	UK	poultry
823	SS_0601	chicken	2013	UK	poultry
824	SS_0602	chicken	2013	UK	poultry
825	SS_0603	chicken	2013	UK	poultry
826	SS_0604	chicken	2013	UK	poultry
828	SS_0606	chicken	2013	UK	poultry
829	SS_0607	chicken	2013	UK	poultry
830	SS_0608	chicken	2013	UK	poultry
831	SS_0609	chicken	2013	UK	poultry
832	SS_0610	chicken	2013	UK	poultry
833	SS_0611	chicken	2013	UK	poultry
834	SS_0612	chicken	2013	UK	poultry
835	SS_0613	chicken	2013	UK	poultry
836	SS_0614	chicken	2013	UK	poultry
838	SS_0616	chicken	2013	UK	poultry
839	SS_0617	chicken	2013	UK	poultry
840	SS_0618	chicken	2013	UK	poultry
841	SS_0619	chicken	2013	UK	poultry
842	SS_0620	chicken	2013	UK	poultry
843	SS_0621	chicken	2013	UK	poultry
844	SS_0622	chicken	2013	UK	poultry
845	SS_0623	chicken	2013	UK	poultry
847	SS_0625	chicken	2013	UK	poultry
848	SS_0626	chicken	2013	UK	poultry
849	SS_0627	chicken	2013	UK	poultry
850	SS_0628	chicken	2013	UK	poultry
851	SS_0629	chicken	2013	UK	poultry
852	SS_0630	chicken	2013	UK	poultry
853	SS_0631	chicken	2013	UK	poultry
854	SS_0632	chicken	2013	UK	poultry
860	SS_0638	chicken	2013	UK	poultry
866	SS_0644	chicken	2013	UK	poultry
867	SS_0645	chicken	2013	UK	poultry
868	SS_0646	chicken	2013	UK	poultry
869	SS_0647	chicken	2013	UK	poultry
870	SS_0648	chicken	2013	UK	poultry
871	SS_0649	chicken	2013	UK	poultry
872	SS_0650	chicken	2013	UK	poultry
873	SS_0651	chicken	2013	UK	poultry
874	SS_0652	chicken	2013	UK	poultry
875	SS_0653	chicken	2013	UK	poultry
877	SS_0655	chicken	2013	UK	poultry
878	SS_0656	chicken	2013	UK	poultry
881	SS_0658	chicken	2013	UK	poultry
882	SS_0659	chicken	2013	UK	poultry
883	SS_0660	chicken	2013	UK	poultry
884	SS_0661	chicken	2013	UK	poultry
885	SS_0662	chicken	2013	UK	poultry
886	SS_0663	chicken	2013	UK	poultry
887	SS_0664	chicken	2013	UK	poultry
888	SS_0665	chicken	2013	UK	poultry
889	SS_0666	chicken	2013	UK	poultry
890	SS_0667	chicken	2013	UK	poultry
892	SS_0669	chicken	2013	UK	poultry
893	SS_0670	chicken	2013	UK	poultry
894	SS_0671	chicken	2013	UK	poultry
895	SS_0672	chicken	2013	UK	poultry
897	SS_0674	chicken	2013	UK	poultry
898	SS_0675	chicken	2013	UK	poultry
899	SS_0676	chicken	2013	UK	poultry
900	SS_0677	chicken	2013	UK	poultry
901	SS_0678	chicken	2013	UK	poultry
902	SS_0679	chicken	2013	UK	poultry
903	SS_0680	chicken	2013	UK	poultry
904	SS_0681	chicken	2013	UK	poultry
906	SS_0683	chicken	2013	UK	poultry
907	SS_0684	chicken	2013	UK	poultry
908	SS_0685	chicken	2013	UK	poultry
909	SS_0686	chicken	2013	UK	poultry
910	SS_0687	chicken	2013	UK	poultry
911	SS_0688	chicken	2013	UK	poultry
912	SS_0689	chicken	2013	UK	poultry
913	SS_0690	chicken	2013	UK	poultry
914	SS_0691	chicken	2013	UK	poultry
915	SS_0692	chicken	2013	UK	poultry
916	SS_0693	chicken	2013	UK	poultry
917	SS_0694	chicken	2013	UK	poultry
918	SS_0695	chicken	2013	UK	poultry
919	SS_0696	chicken	2013	UK	poultry
920	SS_0697	chicken	2013	UK	poultry
921	SS_0698	chicken	2013	UK	poultry
922	SS_0699	chicken	2013	UK	poultry
923	SS_0700	chicken	2013	UK	poultry
924	SS_0701	chicken	2013	UK	poultry
925	SS_0702	chicken	2013	UK	poultry
926	SS_0703	chicken	2013	UK	poultry
927	SS_0704	chicken	2013	UK	poultry
928	SS_0705	chicken	2013	UK	poultry
929	SS_0706	chicken	2013	UK	poultry
930	SS_0707	chicken	2013	UK	poultry
931	SS_0708	chicken	2013	UK	poultry
932	SS_0709	chicken	2013	UK	poultry
933	SS_0710	chicken	2013	UK	poultry
934	SS_0711	chicken	2013	UK	poultry
935	SS_0712	chicken	2013	UK	poultry
936	SS_0713	chicken	2013	UK	poultry
937	SS_0714	chicken	2013	UK	poultry
938	SS_0715	chicken	2013	UK	poultry
939	SS_0716	chicken	2013	UK	poultry
940	SS_0717	chicken	2013	UK	poultry
946	SS_0723	chicken	2013	UK	poultry
947	SS_0724	chicken	2013	UK	poultry
948	SS_0725	chicken	2013	UK	poultry
949	SS_0726	chicken	2013	UK	poultry
1663	61291	chicken	1998	Denmark	poultry
1665	61282	chicken	1967	Japan	poultry
1666	61280	chicken	1998	Japan	poultry
